Titel: 
Gebruikersnaam: 
Periode aangevraagd: 01/01/1800-28/10/2021
Datum: 28/10/2021
Referentie: Maaiveld (MV)


LOCATIE,FILTERNUMMER,EXTERNE AANDUIDING,X-COORDINAAT,Y-COORDINAAT,MAAIVELD NAP,GESCHAT,MEETPUNT NAP,BOVENKANT FILTER,ONDERKANT FILTER,START DATUM,EIND DATUM
B14C0147,001,14CP7058,105910,529120,-113,,-60,-560,-610,1994/04/07,2012/12/30
B14C0147,001,14CP7058,105910,529120,-127,,-74,-575,-625,2012/12/30,2019/08/27

LOCATIE,FILTERNUMMER,PEIL DATUM TIJD,STAND (MV),BIJZONDERHEID
B14C0147,001,2011/01/27 00:00:00,-12,
B14C0147,001,2011/02/15 00:00:00,-14,
B14C0147,001,2011/02/28 00:00:00,-13,
B14C0147,001,2011/03/15 00:00:00,-10,
B14C0147,001,2011/03/28 00:00:00,-4,
B14C0147,001,2011/04/14 00:00:00,-5,
B14C0147,001,2011/04/28 00:00:00,,N
B14C0147,001,2011/05/14 00:00:00,,N
B14C0147,001,2011/05/27 00:00:00,5,
B14C0147,001,2011/06/14 00:00:00,6,
B14C0147,001,2011/06/28 00:00:00,3,
B14C0147,001,2011/07/14 00:00:00,,N
B14C0147,001,2011/07/27 00:00:00,-19,
B14C0147,001,2011/08/15 00:00:00,-15,
B14C0147,001,2011/08/28 00:00:00,,N
B14C0147,001,2011/09/14 00:00:00,-20,
B14C0147,001,2011/09/28 00:00:00,-17,
B14C0147,001,2011/10/14 00:00:00,-19,
B14C0147,001,2011/10/27 00:00:00,-14,
B14C0147,001,2011/11/14 00:00:00,-7,
B14C0147,001,2011/11/28 00:00:00,-10,
B14C0147,001,2011/12/14 00:00:00,,N
B14C0147,001,2011/12/28 00:00:00,-17,
B14C0147,001,2012/01/13 00:00:00,-17,
B14C0147,001,2012/01/30 00:00:00,-13,
B14C0147,001,2012/02/14 00:00:00,-3,
B14C0147,001,2012/02/29 00:00:00,-10,
B14C0147,001,2012/03/14 00:00:00,-8,
B14C0147,001,2012/03/28 00:00:00,-4,
B14C0147,001,2012/04/16 00:00:00,-5,
B14C0147,001,2012/04/27 00:00:00,-8,
B14C0147,001,2012/05/14 00:00:00,-7,
B14C0147,001,2012/05/29 00:00:00,1,
B14C0147,001,2012/06/13 00:00:00,1,
